provider_id,provider_name,state,specialty,intake_source,assigned_analyst,received_date,completed_date,status,turnaround_days,documents_missing_flag,verification_issue_flag,committee_required_flag,sla_target_days
P0240,Provider 240,FL,Internal Medicine,Manual Intake,R. Kumar,2025-03-16,2025-04-08,Completed,23,0,0,0,20
P0241,Provider 241,NJ,Internal Medicine,Portal Upload,S. Reddy,2025-02-28,,Rejected,18,0,1,0,20
P0242,Provider 242,AZ,Family Medicine,Portal Upload,S. Reddy,2025-01-18,,Pending Documents,2,1,0,0,20
P0243,Provider 243,AZ,Orthopedics,Referral,K. Sharma,2025-02-24,2025-04-07,Completed,42,0,0,0,20
P0244,Provider 244,FL,Family Medicine,Manual Intake,K. Sharma,2025-01-20,,In Verification,33,0,1,0,20
P0245,Provider 245,TX,Cardiology,Manual Intake,R. Kumar,2025-01-06,2025-02-06,Completed,31,0,0,0,20
P0246,Provider 246,AZ,Orthopedics,Manual Intake,S. Reddy,2025-01-31,,Pending Documents,28,1,0,0,20
P0247,Provider 247,CA,Internal Medicine,Referral,S. Reddy,2025-03-04,,Pending Documents,2,1,0,0,20
P0248,Provider 248,NJ,Pediatrics,CAQH,M. Singh,2025-03-08,2025-04-16,Completed,39,0,0,0,20
P0249,Provider 249,IL,Internal Medicine,Referral,S. Reddy,2025-01-21,2025-01-30,Completed,9,0,0,0,20
P0250,Provider 250,TX,Family Medicine,Portal Upload,R. Kumar,2025-01-05,2025-01-25,Completed,20,0,0,0,20
P0251,Provider 251,IL,Cardiology,Referral,M. Singh,2025-03-26,,Pending Documents,35,1,0,0,20
P0252,Provider 252,TX,Pediatrics,Referral,M. Singh,2025-03-10,2025-04-11,Completed,32,0,0,0,20
P0253,Provider 253,AZ,Family Medicine,Referral,A. Patel,2025-01-28,2025-02-27,Completed,30,0,0,0,20
P0254,Provider 254,PA,Internal Medicine,Manual Intake,M. Singh,2025-03-16,,Pending Documents,33,1,0,0,20
P0255,Provider 255,PA,Cardiology,Manual Intake,R. Kumar,2025-02-01,,Pending Documents,36,1,0,0,20
P0256,Provider 256,IL,Cardiology,Manual Intake,A. Patel,2025-01-24,,In Verification,4,0,1,0,20
P0257,Provider 257,PA,Orthopedics,CAQH,S. Reddy,2025-03-22,,Pending Documents,26,1,0,0,20
P0258,Provider 258,TX,Orthopedics,CAQH,A. Patel,2025-01-09,2025-01-16,Completed,7,0,0,0,20
P0259,Provider 259,AZ,Internal Medicine,Referral,M. Singh,2025-01-22,,Rejected,20,0,1,0,20
P0260,Provider 260,PA,Orthopedics,CAQH,K. Sharma,2025-01-24,,In Verification,10,0,1,0,20
P0261,Provider 261,AZ,Pediatrics,Portal Upload,S. Reddy,2025-03-23,,Rejected,11,0,1,0,20
P0262,Provider 262,PA,Internal Medicine,Referral,A. Patel,2025-02-22,2025-03-11,Completed,17,0,0,0,20
P0263,Provider 263,IL,Internal Medicine,Manual Intake,R. Kumar,2025-02-23,2025-02-27,Completed,4,0,0,0,20
P0264,Provider 264,PA,Cardiology,Portal Upload,M. Singh,2025-03-20,2025-04-20,Completed,31,0,0,0,20
P0265,Provider 265,NY,Cardiology,Referral,K. Sharma,2025-03-13,2025-04-06,Completed,24,0,0,0,20
P0266,Provider 266,IL,Neurology,Portal Upload,M. Singh,2025-01-21,,Committee Review,16,0,0,1,20
P0267,Provider 267,NY,Cardiology,Portal Upload,A. Patel,2025-02-08,,In Verification,9,0,1,0,20
P0268,Provider 268,FL,Cardiology,Manual Intake,R. Kumar,2025-03-26,,On Hold,34,1,0,0,20
P0269,Provider 269,PA,Pediatrics,CAQH,K. Sharma,2025-01-10,,Committee Review,16,0,0,1,20
P0270,Provider 270,PA,Neurology,Referral,K. Sharma,2025-02-02,,Pending Documents,39,1,0,0,20
P0271,Provider 271,TX,Pediatrics,Portal Upload,K. Sharma,2025-03-19,2025-04-15,Completed,27,0,0,0,20
P0272,Provider 272,TX,Orthopedics,Referral,A. Patel,2025-03-03,,Committee Review,18,0,0,1,20
P0273,Provider 273,NJ,Family Medicine,Manual Intake,R. Kumar,2025-03-18,2025-04-27,Completed,40,0,0,0,20
P0274,Provider 274,AZ,Pediatrics,Referral,K. Sharma,2025-02-13,2025-02-16,Completed,3,0,0,0,20
P0275,Provider 275,NJ,Internal Medicine,Manual Intake,M. Singh,2025-02-20,,Pending Documents,41,1,0,0,20
P0276,Provider 276,CA,Cardiology,Portal Upload,K. Sharma,2025-03-15,2025-04-23,Completed,39,0,0,0,20
P0277,Provider 277,IL,Orthopedics,Referral,A. Patel,2025-03-22,,Pending Documents,37,1,0,0,20
P0278,Provider 278,PA,Cardiology,CAQH,S. Reddy,2025-02-18,,In Verification,20,0,1,0,20
P0279,Provider 279,IL,Internal Medicine,Portal Upload,S. Reddy,2025-01-16,,Committee Review,29,0,0,1,20
P0280,Provider 280,NJ,Cardiology,Manual Intake,A. Patel,2025-01-03,,Committee Review,30,0,0,1,20
P0281,Provider 281,IL,Pediatrics,CAQH,S. Reddy,2025-02-04,2025-03-06,Completed,30,0,0,0,20
P0282,Provider 282,IL,Family Medicine,Manual Intake,S. Reddy,2025-03-28,,Pending Documents,44,1,0,0,20
P0283,Provider 283,AZ,Orthopedics,Manual Intake,S. Reddy,2025-03-12,,Rejected,32,0,1,0,20
P0284,Provider 284,TX,Neurology,CAQH,S. Reddy,2025-02-04,,In Verification,37,0,1,0,20
P0285,Provider 285,NJ,Pediatrics,Manual Intake,S. Reddy,2025-02-13,,In Verification,12,0,1,0,20
P0286,Provider 286,TX,Family Medicine,Portal Upload,K. Sharma,2025-02-25,,Committee Review,11,0,0,1,20
P0287,Provider 287,PA,Internal Medicine,Referral,R. Kumar,2025-02-12,,Pending Documents,12,1,0,0,20
P0288,Provider 288,CA,Neurology,Manual Intake,S. Reddy,2025-01-23,,In Verification,26,0,1,0,20
P0289,Provider 289,CA,Orthopedics,CAQH,A. Patel,2025-02-11,,Committee Review,36,0,0,1,20
P0290,Provider 290,PA,Cardiology,Portal Upload,R. Kumar,2025-01-23,2025-01-27,Completed,4,0,0,0,20
P0291,Provider 291,TX,Cardiology,Referral,R. Kumar,2025-01-24,,In Verification,31,0,1,0,20
P0292,Provider 292,PA,Orthopedics,CAQH,K. Sharma,2025-02-07,2025-02-17,Completed,10,0,0,0,20
P0293,Provider 293,FL,Neurology,CAQH,K. Sharma,2025-02-15,2025-03-06,Completed,19,0,0,0,20
P0294,Provider 294,FL,Cardiology,Referral,K. Sharma,2025-02-24,2025-03-17,Completed,21,0,0,0,20
P0295,Provider 295,AZ,Neurology,Portal Upload,R. Kumar,2025-02-15,,Pending Documents,34,1,0,0,20
P0296,Provider 296,CA,Neurology,Portal Upload,M. Singh,2025-01-24,,On Hold,14,1,0,0,20
P0297,Provider 297,TX,Pediatrics,Portal Upload,K. Sharma,2025-03-04,2025-03-22,Completed,18,0,0,0,20
P0298,Provider 298,CA,Family Medicine,Portal Upload,R. Kumar,2025-03-20,2025-04-10,Completed,21,0,0,0,20
P0299,Provider 299,NJ,Orthopedics,Portal Upload,K. Sharma,2025-02-20,2025-03-21,Completed,29,0,0,0,20
P0300,Provider 300,CA,Internal Medicine,Manual Intake,A. Patel,2025-01-14,,Committee Review,32,0,0,1,20
P0301,Provider 301,TX,Cardiology,Referral,M. Singh,2025-01-13,,In Verification,11,0,1,0,20
P0302,Provider 302,CA,Orthopedics,Portal Upload,R. Kumar,2025-03-01,,Pending Documents,40,1,0,0,20
P0303,Provider 303,FL,Internal Medicine,CAQH,R. Kumar,2025-01-05,,Pending Documents,22,1,0,0,20
P0304,Provider 304,NY,Neurology,CAQH,K. Sharma,2025-02-21,,Rejected,13,0,1,0,20
P0305,Provider 305,PA,Internal Medicine,CAQH,K. Sharma,2025-01-04,,On Hold,31,1,0,0,20
P0306,Provider 306,NJ,Internal Medicine,Manual Intake,R. Kumar,2025-03-24,,Pending Documents,33,1,0,0,20
P0307,Provider 307,CA,Family Medicine,Manual Intake,R. Kumar,2025-03-11,,Pending Documents,30,1,0,0,20
P0308,Provider 308,FL,Internal Medicine,CAQH,S. Reddy,2025-01-19,2025-02-11,Completed,23,0,0,0,20
P0309,Provider 309,TX,Internal Medicine,Referral,A. Patel,2025-03-09,,In Verification,21,0,1,0,20
P0310,Provider 310,FL,Neurology,Referral,S. Reddy,2025-03-22,,On Hold,19,1,0,0,20
P0311,Provider 311,IL,Internal Medicine,CAQH,M. Singh,2025-01-09,2025-01-30,Completed,21,0,0,0,20
P0312,Provider 312,NY,Family Medicine,Referral,A. Patel,2025-03-21,,Pending Documents,31,1,0,0,20
P0313,Provider 313,NJ,Cardiology,Referral,M. Singh,2025-03-15,,In Verification,40,0,1,0,20
P0314,Provider 314,AZ,Cardiology,CAQH,R. Kumar,2025-02-19,,In Verification,33,0,1,0,20
P0315,Provider 315,NJ,Orthopedics,Portal Upload,S. Reddy,2025-03-30,,Pending Documents,35,1,0,0,20
P0316,Provider 316,FL,Cardiology,CAQH,R. Kumar,2025-02-10,,Pending Documents,14,1,0,0,20
P0317,Provider 317,CA,Cardiology,CAQH,M. Singh,2025-01-11,,Pending Documents,30,1,0,0,20
P0318,Provider 318,NJ,Orthopedics,CAQH,A. Patel,2025-01-24,,Committee Review,27,0,0,1,20
P0319,Provider 319,NJ,Internal Medicine,Manual Intake,M. Singh,2025-03-10,2025-04-08,Completed,29,0,0,0,20
P0320,Provider 320,TX,Pediatrics,Manual Intake,R. Kumar,2025-03-25,2025-04-12,Completed,18,0,0,0,20
